src_node,dest_node,nodesList,distance,linksList,numHops
0,10,"[0, 13, 12, 1, 11, 129, 127, 26, 7, 6, 10]",107.0,"[2, 60, 10, 9, 59, 197, 89, 40, 35, 37]",10
0,10,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 4, 26, 7, 116, 117, 115, 10]",119.96,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 25, 26, 40, 41, 190, 189, 55]",17
0,11,"[0, 13, 12, 1, 11]",20.0,"[2, 60, 10, 9]",4
0,11,"[0, 16, 17, 2, 11]",43.0,"[5, 67, 16, 15]",4
0,11,"[0, 2, 11]",43.33,"[0, 15]",2
0,11,"[0, 13, 12, 33, 37, 11]",51.0,"[2, 60, 61, 102, 57]",5
0,11,"[0, 13, 143, 144, 142, 12, 1, 11]",51.0,"[2, 63, 208, 207, 62, 10, 9]",7
0,12,"[0, 13, 12]",10.0,"[2, 60]",2
0,12,"[0, 13, 143, 144, 142, 12]",41.0,"[2, 63, 208, 207, 62]",5
0,12,"[0, 16, 17, 2, 11, 1, 12]",53.0,"[5, 67, 16, 15, 9, 10]",6
0,12,"[0, 2, 11, 1, 12]",53.33,"[0, 15, 9, 10]",4
0,12,"[0, 14, 3, 18, 35, 31, 1, 12]",67.0,"[3, 19, 20, 71, 98, 12, 10]",7
0,13,"[0, 13]",5.0,[2],1
0,13,"[0, 16, 17, 2, 11, 1, 12, 13]",58.0,"[5, 67, 16, 15, 9, 10, 60]",7
0,13,"[0, 2, 11, 1, 12, 13]",58.33,"[0, 15, 9, 10, 60]",5
0,13,"[0, 14, 3, 18, 35, 31, 1, 12, 13]",72.0,"[3, 19, 20, 71, 98, 12, 10, 60]",8
0,13,"[0, 3, 18, 35, 31, 1, 12, 13]",72.1,"[1, 20, 71, 98, 12, 10, 60]",7
0,14,"[0, 14]",10.0,[3],1
0,14,"[0, 3, 14]",42.1,"[1, 19]",2
0,14,"[0, 3, 100, 95, 14]",62.1,"[1, 22, 172, 64]",4
0,14,"[0, 13, 12, 1, 31, 35, 18, 3, 14]",67.0,"[2, 60, 10, 12, 98, 71, 20, 19]",8
0,14,"[0, 13, 12, 1, 3, 14]",67.14,"[2, 60, 10, 7, 19]",5
0,15,"[0, 15]",11.0,[4],1
0,15,"[0, 16, 17, 22, 20, 104, 103, 105, 15]",92.0,"[5, 67, 69, 76, 77, 178, 179, 66]",8
0,15,"[0, 16, 17, 22, 20, 15]",97.0,"[5, 67, 69, 76, 65]",5
0,15,"[0, 16, 108, 106, 107, 22, 20, 104, 103, 105, 15]",105.0,"[5, 68, 181, 180, 80, 76, 77, 178, 179, 66]",10
0,15,"[0, 13, 12, 1, 11, 2, 17, 22, 20, 104, 103, 105, 15]",107.0,"[2, 60, 10, 9, 15, 16, 69, 76, 77, 178, 179, 66]",12
0,16,"[0, 16]",20.0,[5],1
0,16,"[0, 13, 12, 1, 11, 2, 17, 16]",43.0,"[2, 60, 10, 9, 15, 16, 67]",7
0,16,"[0, 2, 17, 16]",48.33,"[0, 16, 67]",3
0,16,"[0, 13, 143, 144, 142, 12, 1, 11, 2, 17, 16]",74.0,"[2, 63, 208, 207, 62, 10, 9, 15, 16, 67]",10
0,16,"[0, 13, 12, 33, 37, 11, 2, 17, 16]",74.0,"[2, 60, 61, 102, 57, 15, 16, 67]",8
0,17,"[0, 16, 17]",24.0,"[5, 67]",2
0,17,"[0, 13, 12, 1, 11, 2, 17]",39.0,"[2, 60, 10, 9, 15, 16]",6
0,17,"[0, 2, 17]",44.33,"[0, 16]",2
0,17,"[0, 13, 143, 144, 142, 12, 1, 11, 2, 17]",70.0,"[2, 63, 208, 207, 62, 10, 9, 15, 16]",9
0,17,"[0, 13, 12, 33, 37, 11, 2, 17]",70.0,"[2, 60, 61, 102, 57, 15, 16]",7
0,18,"[0, 14, 3, 18]",36.0,"[3, 19, 20]",3
0,18,"[0, 3, 18]",36.1,"[1, 20]",2
0,18,"[0, 13, 12, 1, 31, 35, 18]",41.0,"[2, 60, 10, 12, 98, 71]",6
0,18,"[0, 14, 95, 100, 3, 18]",56.0,"[3, 64, 172, 22, 20]",5
0,18,"[0, 13, 12, 1, 31, 28, 29, 23, 35, 18]",57.0,"[2, 60, 10, 12, 92, 91, 82, 83, 71]",9
0,19,"[0, 13, 12, 1, 31, 28, 19]",23.0,"[2, 60, 10, 12, 92, 73]",6
0,19,"[0, 13, 12, 1, 31, 35, 23, 29, 28, 19]",47.0,"[2, 60, 10, 12, 98, 83, 82, 91, 73]",9
0,19,"[0, 13, 12, 1, 31, 138, 137, 136, 19]",49.0,"[2, 60, 10, 12, 99, 204, 203, 75]",8
0,19,"[0, 13, 12, 1, 21, 36, 38, 152, 30, 19]",54.0,"[2, 60, 10, 11, 78, 106, 117, 96, 74]",9
0,19,"[0, 13, 143, 144, 142, 12, 1, 31, 28, 19]",54.0,"[2, 63, 208, 207, 62, 10, 12, 92, 73]",9
0,20,"[0, 15, 105, 103, 104, 20]",37.0,"[4, 66, 179, 178, 77]",5
0,20,"[0, 15, 20]",42.0,"[4, 65]",2
0,20,"[0, 16, 17, 22, 20]",66.0,"[5, 67, 69, 76]",4
0,20,"[0, 16, 108, 106, 107, 22, 20]",79.0,"[5, 68, 181, 180, 80, 76]",6
