OPEX,Capex_RoB,Capex_MCS,Capex_100GL,CAPEX
2450.2200000000003,836.0,36.05,1708.0,2580.05
2450.2200000000003,0.0,2.625,1984.0,1986.625
2450.2200000000003,0.0,4.375,2384.0,2388.375
2450.2200000000003,0.0,14.874999999999998,2940.0,2954.875
2450.2200000000003,0.4487723999999993,14.9835025375,3721.538398754808,3736.970673692308
2450.2200000000003,11.511012060000006,25.569062723749997,4839.539644835779,4876.619719619529
2450.2200000000003,25.445395080000026,33.580308188000004,6414.650426454516,6473.676129722516
2523.7900000000004,29.682967873000024,48.5274587459375,8639.612956133677,8717.823382752615
2615.8900000000003,22.266549719360007,68.46787434237623,11734.27368304503,11825.008107106767
2802.1400000000003,22.842436409901996,93.83737080631374,16013.48070278636,16130.160510002577
