OPEX,Capex_RoB,Capex_MCS,Capex_100GL,CAPEX
2450.2200000000003,836.0,46.199999999999996,2492.0,3374.2
2450.2200000000003,0.0,7.874999999999999,3076.0,3083.875
2450.2200000000003,0.0,7.5249999999999995,3848.0,3855.525
2450.2200000000003,0.0,21.174999999999997,4960.0,4981.175
2450.2200000000003,4.487724,24.130003624999997,6549.4962408196725,6578.1139684446725
2486.36,12.079850779999994,36.69636511624999,8751.9005488,8800.67676469625
2534.7900000000004,18.50516931999998,50.24979604312499,11830.122478352787,11898.877443715912
2655.2000000000003,17.326508017400002,70.51457831215001,16180.29728333247,16268.13836966202
3146.3100000000004,100.44713207534,100.59580775110999,22218.634631507506,22419.677571333956
3570.5299999999997,129.19481142246798,139.22887267333186,30691.343545223157,30959.767229318957
