OPEX,Capex_RoB,Capex_MCS,Capex_100GL,CAPEX
2450.2200000000003,836.0,46.199999999999996,2492.0,3374.2
2450.2200000000003,0.0,7.874999999999999,3076.0,3083.875
2450.2200000000003,0.0,7.5249999999999995,3848.0,3855.525
2450.2200000000003,0.0,21.174999999999997,4960.0,4981.175
2450.2200000000003,4.487724,24.130003624999997,6549.4962408196725,6578.1139684446725
2450.2200000000003,8.279850779999997,36.77076685625,8756.435512000002,8801.486129636252
2450.2200000000003,9.632899565999992,50.852450137125,11871.006844333115,11931.49219403624
2534.7900000000004,13.690085557200007,71.26789592965,16263.368528786543,16348.326510273393
2617.7700000000004,13.019417644019999,101.64668582752249,22357.09807515448,22471.764178626025
3036.4700000000003,93.40483773561199,140.33331163234863,30883.34047878312,31117.07862815108
